id,title,date,time,category,summary
news_20251113_종목_0028,전자·車·방산부터 식품까지 韓 대표 기업인 대거 UAE행,2025-11-13,18:09,종목,이재용 삼성전자 회장이 이달 19일 중동 UAE를 방문해 한·UAE 비즈니스 라운드 테이블 행사에 참석할 예정이다. 이는 지난달 APEC을 계기로 한 한국 대통령과 UAE 아부다비 왕세자 간 만남의 후속 조치로 풀이되고 있다. UAE는 석유를 대체할 미래 먹거리로 인공지능과 반도체 등 첨단산업에 막대한 투자를 진행 중이다. 삼성전자는 메모리 반도체와 첨단 파운드리 사업을 모두 갖춘 점에서 U...
news_20251113_종목_0025,파죽지세 코스피 … AI·반도체·K뷰티에 투자자 시선 쏠려 [빅데이터로 본 재테크],2025-11-13,16:10,종목,"삼성전자는 투자자 검색 상위 4위를 차지하며 반도체 업종의 강세에 힘입어 10만원대 주가를 유지 중이다. 지난달 27일 '10만전자' 시대를 개막한 후 최근 일주일간 9만8천~10만3천원대에서 등락을 거듭하고 있다. SK하이닉스 다음으로 투자자 관심이 이어지는 가운데, 같은 반도체 업계의 에이피알이 3분기 영업이익 961억원으로 전년동기 대비 252.8% 증가하는 등 반도체 업황의 호조가 계..."
news_20251113_종목_0031,대세는 국장…금리 인하기 성장주 부활 [2026 투자 포트폴리오],2025-11-13,21:00,종목,"삼성전자는 SK하이닉스와 함께 시가총액 1~2위로 2026년 코스피 강세를 주도할 전망이다. 전 세계 AI 수요 확대로 대형 반도체주 주도가 지속되며, IT 업종 EPS가 35% 상승할 것으로 예상된다. 신한투자증권은 2026년 코스피 EPS가 23% 상승할 것으로 내다봤다. 코리아 디스카운트 해소와 정부 자본시장 정상화 정책으로 삼성전자 주가 부양이 전망되며, 미국 공급망 재편에서 한국 기..."
news_20251113_섹터_0020,핑크퐁·씨엠티엑스 코스닥 데뷔 [위클리 마켓],2025-11-13,16:10,섹터,11월 넷째주 반도체·소부장 기업들의 코스닥 상장이 본격화한다. 상반기 수주잔액 623억원의 그린광학(17일)과 TSMC 1차 협력사로 선정된 씨엠티엑스(20일) 등의 상장은 반도체 수급 증가에 따른 국내 소부장 수요 확대를 보여준다. 반도체 식각공정용 실리콘 파츠는 세라믹 대비 2배 이상 저렴하면서 높은 화학적 안정성으로 가격 경쟁력을 갖춘다. 우주항공·방산 분야의 초정밀 광학과 고부가가치...
news_20251113_섹터_0009,“유학간 애들 학비 큰일이네”…서학개미 역대급 매수에 더 오르는 환율,2025-11-13,08:33,섹터,"원/달러 환율이 달러당 1470원으로 상승하며 4월 이후 최저 수준을 기록했다. 거주자 해외주식 투자 급증과 수출 업체의 달러 보유 심화가 환율 상승을 견인했고, 달러 수요 쏠림으로 수급 불균형이 심화되고 있다. 반도체 수출 호조 등 펀더멘털과 달리 미국 약달러, 외국인 자금 유입 여건에서도 원화만 약세를 보이는 이례적 현상이 지속 중이다. 시장은 1480원을 심리적 마지노선으로 보며, 이..."
news_20251113_섹터_0010,“미국이 때리고 막아도 효과 없다”… 반도체 자체 공급망 완성한 이 회사,2025-11-13,08:35,섹터,중국은 화웨이 중심으로 자체 반도체 공급망을 구축하고 저가 전력으로 AI 경쟁력을 강화 중이다. 어센드 910C는 엔비디아 GB200 대비 성능 0.3배이나 클라우드 매트릭스 384는 규모의 경제로 1.7배 연산능력을 확보했다. 중국은 지난 20년 전력발전량 9배 증설로 세계 최대 전력생산국이 된 반면 미국은 정체다. 소프트웨어도 미·중 성능격차가 9.3%에서 1.7%로 축소되며 3~6개월...
news_20251113_섹터_0015,"NH아문디운용, ‘성장주도 코리아 펀드’ 시리즈 순자산 1000억 돌파",2025-11-13,12:01,섹터,"NH-Amundi 성장주도 코리아 펀드 시리즈의 순자산이 지난달 14일 설정 당시 313억원에서 11일 기준 1109억원으로 한 달여 만에 약 800억원 증가하며 1000억원을 돌파했다. AI 반도체·인프라, 방산, 조선, 원자력, 신재생에너지 등 정부 정책 지원이 맞물리는 산업에 집중 투자하고 있다. 주요 편입 종목은 삼성전자(16.97%), SK하이닉스(9.2%), LG에너지솔루션(3.0..."
news_20251113_섹터_0017,한국의 실리콘밸리 꿈꾸는 KAIST...5년간 창업기업 투자3.5조원,2025-11-13,14:56,섹터,"KAIST 딥테크 창업이 거대한 투자 성과를 기록하고 있다. 지난 5년간 창업기업이 3조5000원의 투자를 유치했으며, 200억 원 이상을 조달한 스타트업만 42개에 달한다. 의료AI 스타트업 배럴아이는 140억 원 규모 투자를 유치했고, AI 반도체 기업 리벨리온은 1조 원 기업가치의 유니콘으로 성장해 누적 6500억 원을 투자받았다. 삼성전자는 로봇 기업 레인보우로보틱스의 35% 지분을..."
news_20251113_섹터_0006,"“엔비디아와 오픈AI, 어디가 더 잘나갈까?”…‘승부사’ 손정의 선택은 여기",2025-11-13,06:01,섹터,"소프트뱅크가 엔비디아 주식 3210만주(58억달러)를 전량 매각하고 그 자금을 오픈AI(300억달러)와 스타게이트 AI데이터센터 프로젝트에 투입했다. AI 반도체 중심의 투자에서 소프트웨어·인프라 중심으로 전략 전환했다. 오픈AI 기업가치는 1570억달러에서 5000억달러로 급등했으며, 올해 말 소프트뱅크 누적투자액은 347억달러 전망이다. T모바일(91억달러), 도이치텔레콤(23억달러) 등..."
news_20251113_섹터_0016,"신한빠른대응 TDF2030, 3개월·6개월 수익률 1위",2025-11-13,13:51,섹터,"신한빠른대응TDF2030이 최근 3개월·6개월 수익률에서 각각 6.91%, 15.65%를 기록하며 2030 빈티지 펀드 중 1위를 달성했다. 한국 반도체 업종과 미국 대형 기술주 등 강세 자산에 비중을 확대하고 경기 변화에 따라 주식·채권·대체자산 비중을 신속히 조정하는 전술적 자산배분 전략으로 초과수익을 창출했다. 시장 변화에 빠르게 대응하는 동적 운용 방식이 우수한 성과로 이어졌다."
news_20251113_섹터_0018,"주식고수, ‘펨트론’ 쓸어담고, ‘에이비엘바이오’ 팔았다 [주식 초고수는 지금]",2025-11-13,15:36,섹터,"반도체 업황 개선 기대감 속 소부장 투자 확산 가운데, SK하이닉스와 검사 장비 공급 계약을 체결한 펨트론이 초고수 순매수 1위를 차지했다. 에이비엘바이오는 일라이릴리와 3.8조원 규모 신약 플랫폼 기술 이전 계약 체결로 27% 급등했으나, 주가 급등에 따른 차익 실현으로 순매도 1위로 전환됐다. 두산에너빌리티는 3분기 실적 부진에도 불구하고 연간 수주 목표를 13~14조원으로 상향 조정하며..."
news_20251113_섹터_0024,"""R&D 1년 멈추면 3년 퇴보…매출 15% 투자""",2025-11-13,16:51,섹터,"1972년 설립된 계측기기 강소기업 한영넉스는 반도체·자동차·스마트폰 생산 공장 등에 온도·습도·압력 측정 부품을 공급해 전 세계 40여 개국에 수출하고 있다. 지난해 연결 매출은 430억원이며 매출의 15%를 R&D에 투자해 8000여 종의 제품을 보유했다. 2021년 2천만불 수출탑을 수상했으며, 최근 AI 연구소를 설립해 고성능 센서 개발과 스마트 생산 시스템 구축에 주력하고 있다. 다..."
news_20251113_섹터_0011,"수은, 공급망기금 직접출연...핵심광물·물류 투자 늘린다",2025-11-13,08:37,섹터,"수출입은행의 공급망안정화기금 출연 허용과 벤처기업 투자 확대로 반도체·2차전지 등 핵심 산업 지원이 강화된다. 기존에 정부보증채건을 통해서만 재원을 마련해 보수적으로 운영되던 기금이 수은의 직접 출연으로 운용 여력이 확대되며, 초저리 대출과 핵심광물·물류·인프라 등 위험성 높은 분야 투자도 활성화된다. 벤처투자조합, 신기술투자조합 간접투자와 투자자 모집 무관한 직접 출자를 통해 초기 단계 기..."
news_20251113_섹터_0012,‘추경호 체포동의안’ 오늘 국회 본회의 보고…표결은 27일,2025-11-13,08:48,섹터,"정부의 728조원 규모 내년도 예산안 심사가 국회에서 진행 중이다. 반도체산업 육성을 위한 특별법과 은행법·가맹사업법 개정안이 패스트트랙으로 협의되고 있으며, 국회 예산결산특별위원회는 32개 부처 및 기관의 예산심사를 진행하고 있다. 예산안조정소위를 통해 세부 사업별 감액·증액 조정에 착수할 예정이며, 경제·산업 관련 정책 입법과 재정 지원이 본격화되고 있다. 예산안의 국회 본회의 처리 법정..."
news_20251113_섹터_0013,"“AI주 투자, 지금은 영 불안하네요”...월가는 ‘가치주’로 자금 이동 [미장 분석]",2025-11-13,09:22,섹터,"미국 증시는 셧다운 해제 기대에도 업종 순환매가 뚜렷했다. 다우존스는 0.68% 상승해 48254포인트 사상 최고치를 경신했으나 나스닥은 0.26% 하락했다. 헬스케어(+1.36%), 금융(+0.90%)이 강세인 반면 M7 종목(메타-2.88%, 테슬라-2.05%, 아마존-1.97%)은 약세를 보였다. 반도체 분야에서는 AMD가 3~5년 내 데이터센터 매출 1000억 달러 목표를 제시하며 9..."
news_20251113_섹터_0014,"특징주, 아이텍-콜드체인(저온 유통) 테마 상승세에 5.24% ↑",2025-11-13,10:43,섹터,"콜드체인(저온 유통) 테마가 최근 조정 후 13일 반등하며 전일 대비 3.41% 상승했다. 이 중 반도체 전문 테스트 업체인 아이텍(5.24%), 일신바이오(20.98%), 서린바이오(13.38%) 등 주요 종목들이 강세를 주도했다. 투자자별로는 최근 5일간 외국인과 기관이 각각 21.57억원, 49.15억원을 순매도한 반면, 개인 투자자들은 62.92억원을 순매수하며 수급 불균형을 드러냈다..."
news_20251113_섹터_0023,“R&D 1년 멈추면 3년 뒤쳐져…매출 15% 투자”,2025-11-13,16:49,섹터,"한영넉스는 반도체·자동차·스마트폰 공장 등 제조 현장용 온도·습도·압력 등 정밀 계측기기를 전 세계 40여 개국에 수출하는 강소기업이다. 지난해 연결 매출 430억원이며, 자동 온도조절계·센서 등 제품 라인업은 8000여 종에 달한다. R&D에 매출의 15%를 투자하며 4년 전 AI 연구소를 설립해 고성능 센서와 제어기 개발에 주력하고 있다."
news_20251113_경제_0005,"성장률 회복·부동산 불안…금리인하, 한 번 남은 듯",2025-11-13,17:49,경제,"3분기 경제성장률 개선으로 올해와 내년 성장률 전망이 상향되고 있다. 한국은행은 27일 금융통화위원회에서 기준금리 동결을 강하게 예상되며, 최종 금리 수준은 기존 1.75%에서 연 2.25%로 상향 조정되었다. 내년 성장률 2.0%로 잠재성장률 1.8%를 상회할 것으로 전망되며, 내년 한 차례 금리 인하 후 인하 사이클이 완전히 종료될 전망이다. 부동산과 외환시장 상황이 금리 정책 결정의 주..."
news_20251113_섹터_0019,“머스크도 인정했다”...월가 애널들이 모두 매수추천 나선 알파벳,2025-11-13,16:02,섹터,"알파벳이 올해 50% 이상 상승하며 시총 3조4630억달러로 MS(3조7980억달러)와 10% 격차 좁혀 추격 중이다. 제미나이 MAU 6.5억명 달성, 3분기 클라우드 매출 1023억달러 기록하며 성장률 34%로 아마존·MS를 앞섰다. 자체 반도체 아이언우드로 엔비디아 의존도 축소, 웨이모 로보택시 상용화 진행한다. PER 26.3으로 저평가 중이며 분석가 목표가 330달러(현재 287달러..."
news_20251113_섹터_0022,재계 덮친 ‘인사 태풍’…SKT 임원 30% 감축 시작으로 줄줄이 쇄신 예고,2025-11-13,16:48,섹터,"미국 관세 폭탄과 경기 불확실성으로 산업 전반의 구조조정이 가속화하고 있다. SK텔레콤이 임원 30%를 감축하기로 한 데 이어 삼성, LG 등 주요 그룹도 대규모 임원 개편을 추진 중이다. 포스코그룹은 미국 관세 조치와 철강 경기 둔화 속에 임원 15% 감축을 재추진하고, 농협중앙회는 33개 계열사 임원 100여 명 중 50% 이상 교체를 예고했다."
news_20251113_종목_0026,"""사원증 찍으면 천원 기부"" 삼성 키오스크 나눔 10년",2025-11-13,18:09,종목,"삼성전자가 2015년 구미사업장 임직원 아이디어로 시작한 나눔키오스크 10주년 기념행사를 13일 수원 디지털시티 디지털홀에서 개최했다. 사원증 태깅으로 1000원씩 기부되는 나눔키오스크는 현재 삼성 23개 관계사에서 국내 108대, 해외 43대 등 총 151대를 운영 중이며, 10년간 누적 기부금은 112억원에 달한다. 나눔위크 기간에 국내 23개 관계사 8만8000여 명이 봉사와 기부에 참..."
news_20251113_종목_0027,"삼성, 사업지원실 M&A팀 신설…신사업 속도",2025-11-13,18:09,종목,"삼성전자가 사업지원실에 M&A팀을 신설하고 하만 인수 등 대형 딜을 주도한 안중현 사장을 M&A팀장으로 임명했다. 2017년 80억달러에 인수한 하만은 현재 연간 1조원의 영업이익을 창출하며, 올해 5월 독일 플랙트그룹 지분 100%를 15억유로에 인수해 데이터센터 사업을 강화했다. M&A팀 신설로 AI·데이터센터·전장·B2B 분야의 추가 인수가 가속화될 것으로 예상되며, 박학규 신임 사업지..."
news_20251113_종목_0029,"LG 전장 '원팀' 총출동…벤츠회장 ""車협력 한계 없다""",2025-11-13,19:00,종목,"이재용 삼성전자 회장이 메르세데스-벤츠 켈레니우스 회장을 영빈관 승지원에 초청해 만찬을 가졌고, 삼성SDI 사장과 하만 CEO도 함께 참석했다. 벤츠와의 협력 강화 의지를 분명히 드러낸 것이다. 현재 삼성은 하만을 통해 차량용 인포테인먼트와 카오디오를 벤츠에 공급 중이지만, LG처럼 배터리와 디스플레이 분야로는 협력을 확대하지 못한 상황이다."
news_20251113_종목_0030,"새해 경제성장률 1%도 힘에 부친다, 왜?",2025-11-13,21:00,종목,"한국 경제가 미국의 자동차 관세 정책과 중국의 공급 과잉으로 극심한 위기에 직면했다. 현대차 3분기 영업이익은 전년 대비 29.2% 감소한 2조5373억원, 기아는 49.2% 급감한 1조4622억원으로 주력 산업의 부진이 심각하다. 자동차 관세가 25%에서 15%로 인하됐으나 기존 무관세 수출 체계에서 신규 관세 부담이 생겨 제조업 경쟁력 약화가 불가피하다. IMF는 2025년 성장률 0.9..."
news_20251113_경제_0004,너도나도 주식 '빚투'…기타대출 4년3개월 만에 최대 폭 증가,2025-11-13,12:00,경제,"가계부채가 빚투 증가로 급증했습니다. 10월 은행 가계대출은 3조5000억원 늘었으며, 신용대출을 포함한 기타대출이 1조4000억원 증가해 4년 3개월 만의 최고치를 기록했습니다. 코스피가 21.2% 상승하면서 투자자들의 대출 수요가 증가한 것으로 보입니다. 다만 정부 부동산 대책의 영향으로 주택담보대출 증가폭은 2조1000억원으로 둔화되었습니다. 기업대출은 5조9000억원 증가했으나 전년..."
news_20251113_경제_0002,나라살림 적자 100조원 돌파…곳간에 '빨간불',2025-11-13,10:48,경제,"9월 관리재정수지가 102조4000억원 적자로 코로나19 이후 두 번째 규모다. 총수입 480조7000억원(전년 대비 41조4000억원 증)은 법인세 21조4000억원, 소득세 10조2000억원 증으로 기업 실적 개선을 반영했으나, 1·2차 추경으로 총지출 544조2000억원에 달해 적자폭이 전년 동기 대비 11조원 확대됐다. 국고채 금리는 통화정책 변화로 상승했고, 10월 발행량 17조70..."
news_20251113_경제_0003,"쌀 수확량, 예상보다 3.5만톤 적어…쌀값 강세 이어질듯",2025-11-13,12:00,경제,"올해 쌀 생산량은 353만9000톤으로 예상치보다 3만5000톤 적고 전년 대비 1.3% 감소했다. 쌀값은 전년동월 대비 24.7% 상승해 20㎏당 5만6954원이다. 재배면적 2.9% 감소와 9월 이상기후(300㎜ 집중호우)로 인한 단수 부진이 주요 원인이다. 초과생산량도 16만5000톤에서 13만톤으로 감소해 구조적 공급과잉이 완화되나, 단기적으로는 쌀값 강세가 식료품 물가에 상승 압력을..."
news_20251113_섹터_0007,“불안불안해도 이맛에 바이오주 투자”…‘에이비엘 훈풍’에 화끈한 불기둥,2025-11-13,06:02,섹터,"에이비엘바이오가 일라이릴리와 최대 3조8000억원 규모의 기술이전 계약을 체결하면서 시가총액이 1조5000억원 증가해 6조9844억원으로 확대됐다. 이에 따라 알테오젠(7.25%), 리가켐바이오(17.56%), 올릭스(15.16%) 등 코스닥 바이오주들이 동반 상승했으며, 코스닥 지수는 906.51에 마감해 2.52% 상승했다."
news_20251113_섹터_0008,"매경이 전하는 세상의 지식 (매-세-지, 11월 13일)",2025-11-13,07:00,섹터,국내 바이오벤처 에이비엘바이오가 글로벌 제약사 일라이릴리와 최대 3조8000억원 규모의 이중항체 플랫폼 기술이전 및 공동 연구개발 계약을 체결했다. 금융투자업에서는 한국투자증권과 미래에셋증권이 자기자본 8조원 이상 종합투자계좌 사업자로 지정되며 국내 종합금융회사 육성이 본격화되고 있다.
news_20251113_섹터_0021,2030년엔 1000조 시장 … AI 데이터센터 3가지 투자법 [지갑을 불려드립니다],2025-11-13,16:14,섹터,"AI데이터센터가핵심인프라자산으로부상중이다.골드만삭스는2030년까지연평균20%이상성장해1000조원규모에달할것으로전망했다.AI센터는일반센터보다최대10배의전력을소비하며,엔비디아,구글,마이크로소프트,아마존등글로벌빅테크와국내네이버,카카오,KT,SK그룹이메가센터건설에투자중이다.LS일렉트릭,효성중공업,한전KPS등전력냉각기업들이수혜주로주목되는한편,전력공급부족과환경규제가주요위험요소다."
news_20251113_경제_0001,"""당신들이 뭔데 우리 노후를""…'국민연금'에 폭발한 2030",2025-11-13,08:29,경제,"정부가 내년 1월 시행할 국민연금 개혁안은 보험료율을 현행 9%에서 13%로 인상하고, 소득대체율을 41.5%에서 43%로 인상하는 '더 내고 더 받는' 구조로 설계되었다. 통계에 따르면 2000년대생의 수익비는 2.18에서 1.65로 급락(-22.0%)하는 반면 1970년대생은 1.98에서 1.92로만 미미하게 감소(-0.06포인트)한다. 청년층의 높아진 가계 부담으로 소비 침체 가능성이..."
